region,Moderaterna,Centerpartiet,Folkpartiet,Kristdemokraterna,Miljopartiet,Socialdemokraterna,Vansterpartiet,Sverigedemokraterna,Ovriga
"Norrköping";"32.5";"30.2";"7.9";"6.0";"4.7";"6.1";"5.7";"5.2";"1.8"
"Söderköping";"26.2";"33.7";"7.1";"5.9";"10.0";"5.0";"4.2";"6.6";"1.3"
"Motala";"42.9";"24.0";"5.2";"6.2";"4.6";"5.7";"5.5";"4.6";"1.3"
"Vadstena";"32.9";"31.1";"6.6";"6.8";"6.2";"5.0";"3.9";"6.7";"0.9"
"Mjölby";"37.8";"26.0";"5.8";"6.4";"6.8";"4.8";"5.1";"5.7";"1.6"
"Aneby";"26.6";"22.6";"4.6";"5.0";"12.3";"7.6";"3.0";"17.7";"0.6"
"Gnosjö";"29.6";"25.3";"2.9";"4.8";"7.9";"7.0";"2.7";"19.1";"0.8"
"Mullsjö";"27.8";"25.6";"5.8";"5.2";"5.0";"6.1";"4.8";"18.8";"0.9"
"Habo";"27.0";"30.3";"5.2";"6.0";"5.5";"6.1";"3.1";"16.3";"0.5"
"Gislaved";"34.4";"28.4";"3.9";"5.3";"9.7";"7.2";"2.9";"7.6";"0.6"
"Vaggeryd";"33.3";"24.6";"3.6";"4.4";"7.8";"7.4";"3.3";"14.8";"0.7"
"Jönköping";"29.5";"27.9";"6.4";"6.3";"5.3";"5.5";"4.8";"13.5";"0.8"
"Nässjö";"34.4";"24.1";"5.2";"4.9";"7.0";"7.7";"5.0";"11.0";"0.7"
"Värnamo";"31.4";"25.1";"4.3";"4.7";"11.7";"6.6";"2.9";"12.6";"0.5"
"Sävsjö";"25.3";"25.0";"2.8";"4.4";"12.3";"9.2";"3.0";"17.7";"0.3"
"Vetlanda";"30.4";"25.3";"4.5";"5.5";"11.4";"6.6";"4.3";"11.3";"0.6"
"Eksjö";"27.7";"28.6";"5.2";"6.0";"11.1";"5.8";"3.6";"11.2";"0.7"
